"노선번호","노선ID"
"반디1-1","204000150"
"720-1A","204000151"
"반디2","204000152"
"반디2","204000152"
"9400","204000153"
"누리4","204000155"
"9800","204000156"
"342","204000159"
"310","204000163"
"3100","204000170"
"53","204000171"
"4103","204000172"
"811","204000173"
"810","204000174"
"반디3","204000178"
"반디4","204000179"
"210","204000180"
"375","204000181"
"351","204000182"
"S2","204000183"
"S2","204000183"
"S1","204000184"
"333","205000002"
"3-1","205000003"
"300","206000003"
"101","228000179"
"9000","234000002"
"3500","234000051"
"9300","234000886"
"M4102","234001159"
"8109","234001236"
"8106","234001237"
"9000-1","234001574"
"9000-1","234001574"
"88-1","241213002"
"88","241213006"
"87","241213007"
"3-2","241215001"
"3-1","241215002"
"3","241215003"
"73","241215005"
"73","241215005"
"73-1","241215006"
"73-2","241215008"
"82","241215009"
"3-5","241216003"
"3-5","241216003"
"3-4","241216004"
"3-4","241216004"
"7","241217001"
"7-2","241217002"
"10","241218001"
"10-1","241218002"
"10-2","241218003"
"109","241219001"
"109","241219001"
"111(맞춤형)","241219002"
"117","241219003"
"117","241219003"
"115","241219004"
"115","241219004"
"107","241219006"
"107","241219006"
"111","241219007"
"109-1","241219008"
"109-2","241219010"
"109-2","241219010"
"3-3","241220001"
"8-1","241221001"
"8","241221002"
"77","241221003"
"78","241221007"
"78","241221007"
"7","241222003"
"7","241222003"
"7-1","241222004"
"32","241222005"
"32","241222005"
"37","241222008"
"602","241223003"
"602-1A","241223004"
"602-1A","241223004"
"602-1B","241223005"
"602-2B","241223008"
"2","241224001"
"2","241224001"
"2-1","241224002"
"19","241224004"
"19","241224004"
"76","241225005"
"66","241255002"
"300","200000006"
"900","200000010"
"9090","200000015"
"83-1","200000023"
"310","200000024"
"92","200000025"
"301","200000028"
"92-1","200000029"
"300-1","200000031"
"13","200000037"
"7-2","200000040"
"64","200000043"
"7-1","200000045"
"112","200000049"
"20","200000053"
"82-1","200000054"
"25","200000055"
"13-1","200000069"
"11-1","200000070"
"27","200000074"
"5","200000076"
"62-1","200000078"
"98","200000085"
"13-5","200000090"
"3","200000095"
"2-1","200000097"
"37","200000099"
"9","200000103"
"3000","200000104"
"3000","200000104"
"88","200000107"
"3003","200000108"
"3003","200000108"
"7002","200000109"
"3007","200000110"
"3007","200000110"
"7000","200000112"
"7000","200000112"
"5100","200000115"
"5100","200000115"
"7001","200000119"
"7001","200000119"
"2007","200000120"
"99","200000144"
"3002","200000145"
"80","200000146"
"35","200000148"
"7800","200000150"
"7800","200000150"
"20-1","200000182"
"13-4","200000185"
"9-1","200000186"
"99-2","200000196"
"61","200000202"
"8800","200000205"
"8800","200000205"
"81","200000208"
"20-2","200000211"
"G5100","200000262"
"G5100","200000262"
"30-1","200000265"
"19","200000266"
"32-4","200000272"
"3008","200000274"
"3000(예약)","200000283"
"7770(예약)","200000284"
"7780(예약)","200000285"
"7780(예약)","200000285"
"7800(예약)","200000286"
"16-2","200000288"
"3002예약","200000289"
"3002예약","200000289"
"3007예약","200000290"
"3007예약","200000290"
"3003예약","200000293"
"5100예약","200000296"
"5100예약","200000296"
"8800예약","200000297"
"P9100(출근)","200000307"
"P9100(퇴근)","200000308"
"4000","200000314"
"7-1A","200000315"
"수원똑버스01","200000317"
"수원똑버스02","200000321"
"M5443","200000325"
"M5443(예약)","200000326"
"수원MDRT","200000327"
"8450","200000328"
"수원똑버스02","200000329"
"777","233000007"
"34","233000011"
"34-1","233000012"
"7770","233000031"
"7770","233000031"
"7780","233000032"
"7780","233000032"
"30","233000083"
"42","233000087"
"9802","233000271"
"8472","233000272"
"8471","233000273"
"P9110(출근)","233000355"
"P9110(퇴근)","233000356"
"1007-1","234000013"
"1112","234000016"
"M5107","234001243"
"M5115","234001286"
"M5121","234001317"
"M5422","234001318"
"1","241201001"
"2","241201002"
"6","241201005"
"7","241201006"
"7","241201006"
"2-1","241202001"
"2-5","241202003"
"2-5","241202003"
"21","241203001"
"27","241204001"
"27","241204001"
"27-1","241204003"
"27-1","241204003"
"27-2","241204004"
"27-3","241204007"
"27-3","241204007"
"27-6","241204009"
"27-6","241204009"
"27-7","241204011"
"25","241242001"
"25","241242001"
"25-1","241242003"
"25-1","241242003"
"26","241242005"
"24","241242006"
"12","210000027"
"M6410","216000044"
"5602","216000047"
"5602","216000047"
"6501","216000089"
"6501","216000089"
"32","217000009"
"21","224000002"
"23","224000003"
"31","224000004"
"25","224000007"
"63","224000010"
"20-1","224000011"
"3200","224000019"
"3200","224000019"
"26","224000020"
"28","224000021"
"29","224000022"
"26-1","224000027"
"31-3","224000028"
"530","224000029"
"36","224000030"
"36","224000030"
"7","224000033"
"99-2","224000034"
"99-2","224000034"
"99-3","224000035"
"99-3","224000035"
"11-A","224000036"
"11-A","224000036"
"11-B","224000037"
"11-B","224000037"
"11-C","224000038"
"37","224000045"
"37-1","224000046"
"3300","224000047"
"3300","224000047"
"3400","224000050"
"3400","224000050"
"13","224000051"
"13","224000051"
"5200","224000052"
"5200","224000052"
"16","224000053"
"16","224000053"
"3500","224000054"
"3201","224000056"
"3201","224000056"
"3301","224000057"
"3301","224000057"
"60","224000058"
"70","224000059"
"27","224000060"
"6502","224000061"
"6502","224000061"
"33","224000062"
"33-1","224000063"
"시흥광역콜버스","224000064"
"시흥광역콜버스휴","224000065"
"5601","224000066"
"5601","224000066"
"3202","224000067"
"3302","224000068"
"3402","224000069"
"3401","224000071"
"3401","224000071"
"40A","224000072"
"40B","224000073"
"500","224000074"
"500","224000074"
"P9530(출근)","233000362"
"P9540(출근)","233000363"
"P9530(퇴근)","233000364"
"P9540(퇴근)","233000365"
"P9541(출근)","233000366"
"P9541(퇴근)","233000367"
"8","241230001"
"8-1","241230002"
"5(시흥)","241230003"
"1-A","241374002"
"1-B","241374003"
"N1-A","241374005"
"N1-B","241374006"
"5(녹색)","241374007"
"6","241374008"
"6","241374008"
"6-1","241374009"
"6-1","241374009"
"3-A","241374015"
"3-B","241374016"
"71","216000003"
"71","216000003"
"22","216000004"
"125","216000006"
"123","216000007"
"727-1","216000009"
"99-1","216000010"
"99-1","216000010"
"55","216000011"
